학번,전공1,전공2,전공3,전공4
2012-13278,외교학전공,연합전공 계산과학,,
2012-13279,심리학전공,경영학전공,,
2012-13280,사회학전공,경제학전공,,
2012-13281,심리학전공,연합전공 정보문화학,,
2012-13282,경제학전공,인권학,,
2012-13283,외교학전공,,,
2012-13284,경영학전공,문화서사학,,
2012-13285,정치학전공,경영학전공,,
2012-13286,언론정보학전공,경영학전공,,
2012-13287,경영학전공,,,
2012-13288,연합전공 정보문화학,경영학전공,,
2012-13289,미학전공,경영학전공,,
2012-13290,심리학전공,경영학전공,,
2012-13291,사회복지학전공,경제학전공,,
2012-13294,심리학전공,경제학전공,,
2012-13295,경제학전공,,,
2012-13296,기계항공공학전공,,,
2012-13297,경제학전공,컴퓨터공학전공,,
2012-13298,경영학전공,,,
2012-13299,경제학전공,,,
2012-13300,연합전공 정보문화학,경제학전공,,
2012-13301,경영학전공,국제환경학,,
2012-13302,심리학전공,경영학전공,,
2012-13303,경제학전공,,,
2012-13304,경제학전공,,,
2012-13305,경제학전공,,,
2012-13306,지리학전공,외교학전공,,
2012-13307,언론정보학전공,경영학전공,,
2012-13308,경영학전공,,,
2012-13309,경제학전공,수리과학전공,,
2012-13310,통계학전공,,,
2012-13311,심리학전공,컴퓨터공학전공,,
2012-13313,경제학전공,,,
2012-13314,서양사학전공,경제학전공,,
2012-13315,정치학전공,경영학전공,,
2012-13316,언론정보학전공,정치학전공,,
2012-13317,경영학전공,공공거버넌스학,,
2012-13318,심리학전공,원자핵공학전공,,
2012-13319,외교학전공,,,
2012-13320,철학전공,경제학전공,,
2012-13321,경제학전공,연합전공 기술경영,,
2012-13322,연합전공 정보문화학,경영학전공,,
2012-13323,외교학전공,경영학전공,,
2012-13324,경영학전공,데이터과학,,
2012-13325,수리과학전공,물리학전공,,
2012-13326,심리학전공,경제학전공,,
2012-13327,경제학전공,수리과학전공,,
2012-13328,언론정보학전공,정치학전공,,
2012-13329,경영학전공,혼합가치 매니지먼트,,
2012-13330,서아시아언어문명전공,외교학전공,,
2012-13332,경제학전공,,,
2012-13334,철학전공,경영학전공,,
2012-13335,중어중문학전공,경영학전공,,
2012-13336,경제학전공,외교학전공,,
2012-13337,경제학전공,통계학전공,,
2012-13338,경제학전공,,,
2012-13339,경영학전공,,,
2012-13340,연합전공 정보문화학,언론정보학전공,,
2012-13341,연합전공 정보문화학,경영학전공,,
2012-13342,경영학전공,,,
2012-13343,경영학전공,,,
2012-13344,경제학전공,연합전공 글로벌환경경영학,,
2012-13345,경제학전공,,,
2012-13346,경영학전공,,,
2012-13347,경영학전공,,,
2012-13348,경제학전공,외교학전공,,
2012-13349,생명과학전공,,,
2012-13350,미학전공,외교학전공,,
2012-13351,언론정보학전공,경영학전공,,
2012-13352,외교학전공,경영학전공,,
2012-13353,경영학전공,수리과학전공,,
2012-13354,미학전공,경제학전공,아트컴퓨팅소통학,
2012-13355,전기·정보공학전공,,,
2012-13356,경제학전공,통계학전공,,
2012-13357,심리학전공,경제학전공,,
2012-13358,경제학전공,전기·정보공학전공,,
2012-13359,경제학전공,생명과학전공,,
2012-13360,경영학전공,컴퓨터공학전공,,
2012-13361,경제학전공,경영학전공,,
2012-13362,범죄학,,,
2012-13363,정치학전공,통계학전공,,
2012-13364,전기·정보공학전공,,,
2012-13365,수리과학전공,전산논리,,
2012-13366,수리과학전공,,,
2012-13367,경제학전공,컴퓨터공학전공,,
2012-13368,생명과학전공,,,
2012-13369,연합전공 정보문화학,컴퓨터공학전공,,
2012-13370,생명과학전공,,,
2012-13371,정치학전공,법경제학,,
2012-13372,컴퓨터공학전공,,,
2012-13373,경제학전공,,,
2012-13374,연합전공 정보문화학,경제학전공,,
2012-13376,경제학전공,외교학전공,,
2012-13377,경제학전공,통계학전공,,
2012-13378,경제학전공,통계학전공,,
2012-13380,경제학전공,,,
2012-13381,생명과학전공,,,
2012-13382,경제학전공,수리과학전공,,
